"","AUC","Sensitivity","specificity","PPV","NPV","F1_Score_pos","F1_Score_neg","Accuracy","KAPPA","Model"
"464",0.866670198454834,0.745689655172414,0.796672828096118,0.6113074204947,0.879591836734694,0.671844660194175,0.836081474296799,0.78137128072445,0.510324870775124,"RF25"
"465",0.872353719984145,0.80365296803653,0.790613718411552,0.602739726027397,0.910602910602911,0.688845401174168,0.846376811594203,0.794307891332471,0.539858558555186,"RF25"
"466",0.892091079952607,0.794979079497908,0.816479400749064,0.659722222222222,0.898969072164948,0.721062618595825,0.855740922473013,0.809831824062096,0.578687242081221,"RF25"
"467",0.886537218021019,0.791304347826087,0.826887661141805,0.659420289855073,0.903420523138833,0.719367588932806,0.863461538461538,0.816300129366106,0.584499844801611,"RF25"
"468",0.889953539064219,0.778301886792453,0.802139037433155,0.597826086956522,0.905432595573441,0.676229508196721,0.850661625708885,0.795601552393273,0.530614911606457,"RF25"
"469",0.898385650563117,0.804545454545455,0.802893309222423,0.618881118881119,0.91170431211499,0.699604743083004,0.853846153846154,0.803363518758085,0.557116902502092,"RF25"
"470",0.909050264274068,0.814285714285714,0.820603907637655,0.628676470588235,0.922155688622754,0.70954356846473,0.868421052631579,0.81888745148771,0.581104410364395,"RF25"
"471",0.884951066828023,0.786324786324786,0.801484230055659,0.632302405498282,0.896265560165975,0.700952380952381,0.846229187071498,0.796895213454075,0.549909693402612,"RF25"
"472",0.894830771641536,0.804761904761905,0.825932504440497,0.632958801498127,0.91897233201581,0.708595387840671,0.869971936389149,0.820181112548512,0.581235555243763,"RF25"
"473",0.885667366071809,0.775609756097561,0.823943661971831,0.613899613899614,0.910505836575875,0.685344827586207,0.865064695009242,0.811125485122898,0.553005758826372,"RF25"
"474",0.911232916297518,0.795,0.841186736474695,0.636,0.921606118546845,0.706666666666667,0.87956204379562,0.829236739974127,0.588315513415372,"RF25"
"475",0.900536672881192,0.806451612903226,0.814748201438849,0.629496402877698,0.915151515151515,0.707070707070707,0.862036156041865,0.8124191461837,0.572166896325334,"RF25"
"476",0.908756752704149,0.828947368421053,0.818348623853211,0.65625,0.919587628865979,0.732558139534884,0.866019417475728,0.821474773609314,0.601278313523211,"RF25"
"477",0.85891054178532,0.744186046511628,0.804659498207885,0.594795539033457,0.890873015873016,0.661157024793388,0.845574387947269,0.78783958602846,0.509513971106004,"RF25"
"478",0.897468416841211,0.822966507177033,0.796099290780142,0.599303135888502,0.923868312757202,0.693548387096774,0.855238095238095,0.803363518758085,0.553996705157113,"RF25"
"479",0.884208629924201,0.761904761904762,0.820603907637655,0.613026819923372,0.90234375,0.679405520169851,0.85953488372093,0.804657179818887,0.541296770060873,"RF25"
"480",0.90728943242601,0.812785388127854,0.803249097472924,0.620209059233449,0.915637860082305,0.703557312252964,0.855769230769231,0.805950840879689,0.563164953735797,"RF25"
"481",0.880559855747648,0.778242677824268,0.807116104868914,0.643598615916955,0.890495867768595,0.704545454545455,0.846758349705305,0.798188874514877,0.553381086066029,"RF25"
"482",0.8857193442336,0.825242718446602,0.81305114638448,0.615942028985507,0.927565392354125,0.705394190871369,0.866541353383459,0.816300129366106,0.575986773488261,"RF25"
"483",0.889413829440136,0.798283261802575,0.811111111111111,0.645833333333333,0.903092783505155,0.714011516314779,0.854634146341463,0.807244501940492,0.571075318871613,"RF25"
"484",0.898577837438675,0.807174887892377,0.830909090909091,0.659340659340659,0.914,0.725806451612903,0.870476190476191,0.824062095730918,0.598211351041467,"RF25"
"485",0.883565217664128,0.807692307692308,0.808849557522124,0.608695652173913,0.919517102615694,0.694214876033058,0.860640301318267,0.808538163001294,0.558823983093986,"RF25"
"486",0.885386929109495,0.803030303030303,0.791304347826087,0.56989247311828,0.921052631578947,0.666666666666667,0.851262862488307,0.794307891332471,0.524053485751461,"RF25"
"487",0.892578649921068,0.765765765765766,0.842105263157895,0.66147859922179,0.89922480620155,0.709812108559499,0.869728209934395,0.820181112548512,0.580545676708607,"RF25"
